date_id,account_id,opening_balance,inflow,outflow,closing_balance
20220101,1,300000.0,0.0,0.0,300000.0
20220102,1,300000.0,0.0,0.0,300000.0
20220103,1,300000.0,0.0,0.0,300000.0
20220104,1,300000.0,0.0,8741.7,291258.3
20220105,1,291258.3,0.0,0.0,291258.3
20220106,1,291258.3,0.0,0.0,291258.3
20220107,1,291258.3,2180.49,0.0,293438.79
20220108,1,293438.79,0.0,0.0,293438.79
20220109,1,293438.79,0.0,0.0,293438.79
20220110,1,293438.79,35208.85,7082.05,321565.59
20220111,1,321565.59,26120.11,23260.29,324425.41
20220112,1,324425.41,0.0,0.0,324425.41
20220113,1,324425.41,1162.72,9821.86,315766.27
20220114,1,315766.27,0.0,0.0,315766.27
20220115,1,315766.27,0.0,0.0,315766.27
20220116,1,315766.27,0.0,0.0,315766.27
20220117,1,315766.27,0.0,0.0,315766.27
20220118,1,315766.27,40404.39,0.0,356170.66
20220119,1,356170.66,0.0,0.0,356170.66
20220120,1,356170.66,0.0,0.0,356170.66
20220121,1,356170.66,7859.55,0.0,364030.21
20220122,1,364030.21,0.0,52915.65,311114.56
20220123,1,311114.56,0.0,0.0,311114.56
20220124,1,311114.56,2255.25,4011.33,309358.48
20220125,1,309358.48,22117.0,0.0,331475.48
20220126,1,331475.48,0.0,0.0,331475.48
20220127,1,331475.48,45753.48,18208.7,359020.26
20220128,1,359020.26,11315.29,21225.51,349110.04
20220129,1,349110.04,6595.27,8105.28,347600.03
20220130,1,347600.03,0.0,0.0,347600.03
20220131,1,347600.03,0.0,1495.92,346104.11
20220201,1,346104.11,26181.72,0.0,372285.83
20220202,1,372285.83,37807.15,47891.59,362201.39
20220203,1,362201.39,17969.6,0.0,380170.99
20220204,1,380170.99,1362.11,2903.15,378629.95
20220205,1,378629.95,0.0,0.0,378629.95
20220206,1,378629.95,0.0,0.0,378629.95
20220207,1,378629.95,12054.49,0.0,390684.44
20220208,1,390684.44,0.0,6240.23,384444.21
20220209,1,384444.21,35537.44,4108.56,415873.09
20220210,1,415873.09,27067.01,0.0,442940.1
20220211,1,442940.1,10644.15,11.61,453572.64
20220212,1,453572.64,0.0,0.0,453572.64
20220213,1,453572.64,0.0,0.0,453572.64
20220214,1,453572.64,8123.32,6874.75,454821.21
20220215,1,454821.21,0.0,0.0,454821.21
20220216,1,454821.21,6964.01,11592.0,450193.22
20220217,1,450193.22,23157.21,21085.72,452264.71
20220218,1,452264.71,23317.46,42556.22,433025.95
20220219,1,433025.95,0.0,26288.72,406737.23
20220220,1,406737.23,0.0,6998.88,399738.35
20220221,1,399738.35,0.0,0.0,399738.35
20220222,1,399738.35,0.0,0.0,399738.35
20220223,1,399738.35,0.0,10206.96,389531.39
20220224,1,389531.39,0.0,0.0,389531.39
20220225,1,389531.39,0.0,5504.43,384026.96
20220226,1,384026.96,14587.73,0.0,398614.69
20220227,1,398614.69,26096.66,0.0,424711.35
20220228,1,424711.35,0.0,0.0,424711.35
20220301,1,424711.35,0.0,19420.39,405290.96
20220302,1,405290.96,2715.93,4423.69,403583.2
20220303,1,403583.2,35251.76,153.33,438681.63
20220304,1,438681.63,47967.55,58172.52,428476.66
20220305,1,428476.66,0.0,9816.84,418659.82
20220306,1,418659.82,0.0,15589.71,403070.11
20220307,1,403070.11,13184.41,5501.67,410752.85
20220308,1,410752.85,3010.37,0.0,413763.22
20220309,1,413763.22,2063.69,21418.19,394408.72
20220310,1,394408.72,45185.71,22136.73,417457.7
20220311,1,417457.7,3251.33,0.0,420709.03
20220312,1,420709.03,0.0,0.0,420709.03
20220313,1,420709.03,0.0,12616.48,408092.55
20220314,1,408092.55,0.0,26651.43,381441.12
20220315,1,381441.12,0.0,29299.22,352141.9
20220316,1,352141.9,0.0,7624.59,344517.31
20220317,1,344517.31,29820.49,11330.01,363007.79
20220318,1,363007.79,40249.95,151.7,403106.04
20220319,1,403106.04,0.0,0.0,403106.04
20220320,1,403106.04,0.0,0.0,403106.04
20220321,1,403106.04,34773.59,28332.14,409547.49
20220322,1,409547.49,0.0,7322.67,402224.82
20220323,1,402224.82,23556.07,50150.5,375630.39
20220324,1,375630.39,1092.68,34199.65,342523.42
20220325,1,342523.42,0.0,15877.14,326646.28
20220326,1,326646.28,0.0,0.0,326646.28
20220327,1,326646.28,0.0,0.0,326646.28
20220328,1,326646.28,0.0,0.0,326646.28
20220329,1,326646.28,4224.03,0.0,330870.31
20220330,1,330870.31,17318.12,1352.83,346835.6
20220331,1,346835.6,0.0,16397.4,330438.2
20220401,1,330438.2,42172.74,0.0,372610.94
20220402,1,372610.94,19654.29,0.0,392265.23
20220403,1,392265.23,0.0,0.0,392265.23
20220404,1,392265.23,0.0,11120.76,381144.47
20220405,1,381144.47,0.0,8378.56,372765.91
20220406,1,372765.91,15923.02,28395.45,360293.48
20220407,1,360293.48,8304.74,0.0,368598.22
20220408,1,368598.22,0.0,0.0,368598.22
20220409,1,368598.22,0.0,0.0,368598.22
20220410,1,368598.22,10403.36,0.0,379001.58
20220411,1,379001.58,41982.55,0.0,420984.13
20220412,1,420984.13,27472.25,0.0,448456.38
20220413,1,448456.38,0.0,0.0,448456.38
20220414,1,448456.38,0.0,10665.28,437791.1
20220415,1,437791.1,71553.8,17001.31,492343.59
20220416,1,492343.59,9713.03,5045.1,497011.52
20220417,1,497011.52,0.0,9410.3,487601.22
20220418,1,487601.22,5561.75,0.0,493162.97
20220419,1,493162.97,9519.5,0.0,502682.47
20220420,1,502682.47,20309.4,1089.05,521902.82
20220421,1,521902.82,0.0,6538.78,515364.04
20220422,1,515364.04,0.0,10628.23,504735.81
20220423,1,504735.81,4843.47,0.0,509579.28
20220424,1,509579.28,0.0,0.0,509579.28
20220425,1,509579.28,1334.82,26823.46,484090.64
20220426,1,484090.64,6032.18,66324.47,423798.35
20220427,1,423798.35,43963.68,0.0,467762.03
20220428,1,467762.03,24176.13,0.0,491938.16
20220429,1,491938.16,8130.84,0.0,500069.0
20220430,1,500069.0,7032.57,0.0,507101.57
20220501,1,507101.57,0.0,0.0,507101.57
20220502,1,507101.57,0.0,16670.31,490431.26
20220503,1,490431.26,0.0,11473.24,478958.02
20220504,1,478958.02,1967.64,7173.43,473752.23
20220505,1,473752.23,4063.76,8586.38,469229.61
20220506,1,469229.61,48266.02,9459.04,508036.59
20220507,1,508036.59,0.0,0.0,508036.59
20220508,1,508036.59,0.0,0.0,508036.59
20220509,1,508036.59,54843.31,0.0,562879.9
20220510,1,562879.9,30519.07,0.0,593398.97
20220511,1,593398.97,7757.82,14426.46,586730.33
20220512,1,586730.33,0.0,31997.83,554732.5
20220513,1,554732.5,2153.7,23975.8,532910.4
20220514,1,532910.4,21887.62,14940.15,539857.87
20220515,1,539857.87,0.0,0.0,539857.87
20220516,1,539857.87,0.0,0.0,539857.87
20220517,1,539857.87,0.0,0.0,539857.87
20220518,1,539857.87,398.1,8548.37,531707.6
20220519,1,531707.6,0.0,26312.26,505395.34
20220520,1,505395.34,0.0,0.0,505395.34
20220521,1,505395.34,11130.33,1737.01,514788.66
20220522,1,514788.66,0.0,0.0,514788.66
20220523,1,514788.66,499.22,0.0,515287.88
20220524,1,515287.88,15676.88,5245.6,525719.16
20220525,1,525719.16,5440.87,0.0,531160.03
20220526,1,531160.03,0.0,1884.74,529275.29
20220527,1,529275.29,51742.62,30942.04,550075.87
20220528,1,550075.87,0.0,0.0,550075.87
20220529,1,550075.87,0.0,0.0,550075.87
20220530,1,550075.87,0.0,19555.63,530520.24
20220531,1,530520.24,15880.98,54818.28,491582.94
20220601,1,491582.94,29030.32,35379.31,485233.95
20220602,1,485233.95,21231.93,0.0,506465.88
20220603,1,506465.88,4609.96,3108.84,507967.0
20220604,1,507967.0,0.0,2837.29,505129.71
20220605,1,505129.71,0.0,0.0,505129.71
20220606,1,505129.71,13689.19,1763.77,517055.13
20220607,1,517055.13,0.0,0.0,517055.13
20220608,1,517055.13,0.0,1622.62,515432.51
20220609,1,515432.51,1402.42,5114.47,511720.46
20220610,1,511720.46,80458.97,10560.95,581618.48
20220611,1,581618.48,4125.07,5899.91,579843.64
20220612,1,579843.64,30143.52,0.0,609987.16
20220613,1,609987.16,0.0,0.0,609987.16
20220614,1,609987.16,37316.91,0.0,647304.07
20220615,1,647304.07,12606.3,4698.92,655211.45
20220616,1,655211.45,8913.82,32320.45,631804.82
20220617,1,631804.82,0.0,23478.47,608326.35
20220618,1,608326.35,0.0,0.0,608326.35
20220619,1,608326.35,0.0,5984.01,602342.34
20220620,1,602342.34,0.0,37411.44,564930.9
